input,target
Lolo,Hot
लोलो,ᱞᱚᱞᱚ
Lolo,ᱞᱚᱞᱚ
Lolo,लोलो
ᱞᱚᱞᱚ,Hot
Chilka tam?,How are you?
चिल्का तम?,ᱪᱤᱞᱠᱟ ᱛᱟᱢ?
Chilka tam?,ᱪᱤᱞᱠᱟ ᱛᱟᱢ?
Chilka tam?,चिल्का तम?
ᱪᱤᱞᱠᱟ ᱛᱟᱢ?,How are you?
Aaing do bes gi,I am fine
आइंग दो बेस गि।,ᱟᱭᱝ ᱰᱚ ᱵᱮᱥ ᱜᱤ ᱭᱟ
Aaing do bes gi,ᱟᱭᱝ ᱰᱚ ᱵᱮᱥ ᱜᱤ ᱭᱟ
Aaing do bes gi,आइंग दो बेस गि।
ᱟᱭᱝ ᱰᱚ ᱵᱮᱥ ᱜᱤ ᱭᱟ,I am fine
Aaing ho bes gi meniya,I am also fine.
आइंग हो बेस गि मेनिया।,ᱟᱭᱝ ᱦᱚ ᱵᱮᱥ ᱜᱤ ᱢᱮᱱᱤᱭᱟ
Aaing ho bes gi meniya,ᱟᱭᱝ ᱦᱚ ᱵᱮᱥ ᱜᱤ ᱢᱮᱱᱤᱭᱟ
Aaing ho bes gi meniya,आइंग हो बेस गि मेनिया।
ᱟᱭᱝ ᱦᱚ ᱵᱮᱥ ᱜᱤ ᱢᱮᱱᱤᱭᱟ,I am also fine.
Ama odda kota re?,Where is your home?
अमा ओड्डा कोटा रे?,ᱟᱢᱟ ᱳᱰᱰᱟ ᱠᱚᱛᱟ ᱨᱮ ᱭᱟ?
Ama odda kota re?,ᱟᱢᱟ ᱳᱰᱰᱟ ᱠᱚᱛᱟ ᱨᱮ ᱭᱟ?
Ama odda kota re?,अमा ओड्डा कोटा रे?
ᱟᱢᱟ ᱳᱰᱰᱟ ᱠᱚᱛᱟ ᱨᱮ ᱭᱟ?,Where is your home?
Aam mandi jom kedam?,Did you eat food?
आम मंदी जोम केडम?,ᱟᱢ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱢ?
Aam mandi jom kedam?,ᱟᱢ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱢ?
Aam mandi jom kedam?,आम मंदी जोम केडम?
ᱟᱢ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱢ?,Did you eat food?
Hey Aaing mandi jom kedaing,"Yes, I have eaten food"
"हें, आइंग मंदी जोम केडाइंग।""",ᱟᱭᱝ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱭᱝ
Hey Aaing mandi jom kedaing,ᱟᱭᱝ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱭᱝ
Hey Aaing mandi jom kedaing,"हें, आइंग मंदी जोम केडाइंग।"""
ᱟᱭᱝ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱭᱝ,"Yes, I have eaten food"
Boro,Fear
बोरो,ᱵᱚᱲᱚ
Boro,ᱵᱚᱲᱚ
Boro,बोरो
ᱵᱚᱲᱚ,Fear
Jom,Food
जोम,ᱡᱚᱢ-ᱠᱷᱟᱱᱟ
Jom,ᱡᱚᱢ-ᱠᱷᱟᱱᱟ
Jom,जोम
ᱡᱚᱢ-ᱠᱷᱟᱱᱟ,Food
Hedem dudum,Good night
हेडेम दुदुम,ᱦᱮᱰᱮᱢ ᱰᱩᱰᱩᱢ
Hedem dudum,ᱦᱮᱰᱮᱢ ᱰᱩᱰᱩᱢ
Hedem dudum,हेडेम दुदुम
ᱦᱮᱰᱮᱢ ᱰᱩᱰᱩᱢ,Good night
Miyad,One
मियाद,᱑
Miyad,᱑
Miyad,मियाद
᱑,One
Bariya,Two
बरिया,᱒
Bariya,᱒
Bariya,बरिया
᱒,Two
Apiya,Three
अपिया,𑁩 
Apiya,𑁩 
Apiya,अपिया
𑁩 ,Three
Upuna,Four
उपुना,᱔
Upuna,᱔
Upuna,उपुना
᱔,Four
Modeya,Five
मोडेया,᱕
Modeya,᱕
Modeya,मोडेया
᱕,Five
Turiya,Six
तुरिया,᱖ 
Turiya,᱖ 
Turiya,तुरिया
᱖ ,Six
Eya,Seven
एया,᱕
